customer_id,region,plan_type,signup_channel,tenure_months,monthly_spend_usd,support_tickets_90d,avg_weekly_sessions,avg_session_minutes,satisfaction_score,discount_percent,last_active_days,auto_renew,churned
AUR-0001,South,Basic,Referral,17,19.33,0,9.2,37.4,10,10,3,No,Yes
AUR-0002,North,Premium,Partner,65,99.76,0,8.7,26.9,10,20,1,Yes,No
AUR-0003,West,Premium,Referral,28,105.92,4,6.2,19.6,7.9,0,6,Yes,No
AUR-0004,West,Basic,Organic,20,15.96,5,5,26.4,7.2,10,7,Yes,No
AUR-0005,North,Premium,Partner,32,91.2,2,4.7,21.9,6.3,15,10,Yes,No
AUR-0006,West,Premium,Referral,61,88.24,2,8,28.5,8,15,6,Yes,No
AUR-0007,West,Premium,Organic,28,99.09,5,3.9,18.9,4.7,5,13,Yes,Yes
AUR-0008,South,Basic,Referral,51,35.17,1,7.7,25.4,7.9,20,11,Yes,Yes
AUR-0009,South,Plus,Referral,69,85.49,0,7.6,22.8,9,5,4,No,Yes
AUR-0010,East,Basic,Referral,49,35.81,2,6.3,28,6.1,20,14,Yes,No
AUR-0011,East,Plus,Organic,40,64.23,0,7.5,26.5,10,10,2,Yes,No
AUR-0012,North,Basic,Organic,19,27.34,6,5.3,20.5,5.6,15,10,No,Yes
AUR-0013,East,Plus,Referral,20,40.31,1,7.3,29.6,8,20,4,Yes,No
AUR-0014,East,Plus,Partner,50,73.66,4,5.2,23.1,7.5,10,10,Yes,Yes
AUR-0015,West,Basic,Paid Search,71,38.88,1,8,25,8.4,0,9,No,Yes
AUR-0016,North,Plus,Partner,63,68.65,4,5.9,29,6.7,15,12,Yes,Yes
AUR-0017,South,Plus,Organic,12,54.57,4,4.1,13.7,5.4,20,17,Yes,Yes
AUR-0018,North,Premium,Paid Search,33,248.5,1,7.4,31.5,7.3,0,12,Yes,No
AUR-0019,West,Premium,Paid Search,4,103.79,0,6.1,27.6,9.4,5,1,No,Yes
AUR-0020,West,Basic,Organic,54,38.57,3,5.7,26.3,6.8,0,5,Yes,No
AUR-0021,North,Basic,Partner,43,47.46,3,7.6,26.5,7.4,5,11,Yes,Yes
AUR-0022,East,Premium,Referral,56,99.11,0,6.7,23.3,8.4,5,1,Yes,No
AUR-0023,South,Basic,Partner,29,36.44,3,5.2,18.1,5.8,10,9,No,No
AUR-0024,West,Plus,Partner,21,65.48,0,6.5,31.7,8.9,5,0,Yes,No
AUR-0025,East,Plus,Organic,59,68.29,4,5.2,23.4,6.9,0,6,Yes,Yes
AUR-0026,West,Plus,Referral,51,,3,6,22.7,8.1,20,4,No,No
AUR-0027,South,Basic,Paid Search,63,43.7,0,4.7,25.7,7.4,10,7,No,No
AUR-0028,North,Basic,Paid Search,14,43.04,1,5.6,17.4,8.5,15,2,No,No
AUR-0029,South,Basic,Organic,24,30.14,0,7.3,25.6,9,0,8,Yes,No
AUR-0030,West,Plus,Paid Search,42,59.28,3,4.8,22.5,6.8,10,13,No,Yes
AUR-0031,South,Premium,Partner,45,103.88,4,6.7,24.1,7.2,10,10,Yes,Yes
AUR-0032,West,Plus,Paid Search,29,66.72,1,6,25.8,8.2,5,6,Yes,No
AUR-0033,West,Basic,Referral,65,41.9,0,7.6,25.1,9.6,10,7,Yes,No
AUR-0034,East,Basic,Referral,67,36.99,4,3.8,21.1,5.4,10,12,Yes,Yes
AUR-0035,South,Plus,Partner,72,72.23,2,8.4,29.5,8.8,10,1,Yes,No
AUR-0036,North,Plus,Referral,7,64.55,5,5,22.2,5.6,5,17,No,No
AUR-0037,West,Plus,Referral,36,59.85,0,6.7,22.9,10,15,2,Yes,No
AUR-0038,South,Basic,Paid Search,41,39.48,2,5.8,26.7,7.4,5,10,Yes,No
AUR-0039,South,Premium,Partner,46,86.41,3,4.7,16.6,6.1,5,7,Yes,Yes
AUR-0040,West,Plus,Paid Search,51,79.25,1,7.9,35.3,9.3,15,2,Yes,No
AUR-0041,South,Plus,Organic,27,60.23,5,4.9,22.8,4.9,5,11,Yes,Yes
AUR-0042,West,Plus,Paid Search,41,57.54,5,5.4,28,6.2,0,14,Yes,Yes
AUR-0043,East,Plus,Referral,29,39.37,1,7.6,34.8,9.7,10,0,No,No
AUR-0044,East,Basic,Partner,67,41.57,0,8,26.8,8.3,5,10,Yes,Yes
AUR-0045,West,Basic,Referral,4,28.46,3,6.1,27.7,7.8,0,9,Yes,Yes
AUR-0046,North,Premium,Organic,17,109.58,4,5,25.2,6.9,5,14,Yes,Yes
AUR-0047,West,Premium,Paid Search,29,105.85,6,5.3,20.8,4.8,5,12,Yes,No
AUR-0048,North,Plus,Referral,49,55.6,2,7.5,23.5,8.7,20,0,Yes,No
AUR-0049,South,Basic,Partner,18,32.77,0,5.2,20.3,7.2,15,3,No,No
AUR-0050,East,Basic,Paid Search,9,23.73,6,5.1,16.5,5.1,20,17,Yes,No
